c_nuber;JP Partner;C_year;Status;C_title;s_date;Responsabl;F_date;PCode;PName;L_PName;PName;L_PName;Planed_amo;Amo_Province;Sector;X;Y;Sector
368616;European Union;2016;Ongoing;Scaling Up convergent Programme Approaches to improve food and nutrition security in the northern uplands (SUPA);02.01.2016;SENEKHAMTY Inpone;31.07.2021;3;Louangnamtha;?????????;Luangnamtha;?. ???????????;2775000;1387500;Nutrition ;97807,1837;2314345,448;Nutrition 
368616;European Union;2016;Ongoing;Scaling Up convergent Programme Approaches to improve food and nutrition security in the northern uplands (SUPA);02.01.2016;SENEKHAMTY Inpone;31.07.2021;2;Phongsaly;????????;Phongsaly;?. ??????????;2775000;1387500;Nutrition ;214551,4531;2396452,242;Nutrition 
266564;European Union;2011;Ongoing;Strengthening and harmonising capacity of the health sector in South East Asia through strategic planning, regional networking and upgrading laboratories in Lao PDR to prevent and control transboundary emerging infectious diseases.;06.07.2011;VONGSALY CHINDAVANH;30.09.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;3000000;500000;Health;244231,412;2007885,134;Health
266564;European Union;2011;Ongoing;Strengthening and harmonising capacity of the health sector in South East Asia through strategic planning, regional networking and upgrading laboratories in Lao PDR to prevent and control transboundary emerging infectious diseases.;06.07.2011;VONGSALY CHINDAVANH;30.09.2017;16;Champasak;???????;Champasack;?. ?????????;3000000;500000;Health;602995,4303;1633379,012;Health
266564;European Union;2011;Ongoing;Strengthening and harmonising capacity of the health sector in South East Asia through strategic planning, regional networking and upgrading laboratories in Lao PDR to prevent and control transboundary emerging infectious diseases.;06.07.2011;VONGSALY CHINDAVANH;30.09.2017;13;Savannakhet;???????????;Savannakhet;?. ??????????????;3000000;500000;Health;575095,9569;1830288,616;Health
266564;European Union;2011;Ongoing;Strengthening and harmonising capacity of the health sector in South East Asia through strategic planning, regional networking and upgrading laboratories in Lao PDR to prevent and control transboundary emerging infectious diseases.;06.07.2011;VONGSALY CHINDAVANH;30.09.2017;6;Louangphabang;?????????;Luangprabang;?. ???????????;3000000;500000;Health;243140,5795;2226599,839;Health
266564;European Union;2011;Ongoing;Strengthening and harmonising capacity of the health sector in South East Asia through strategic planning, regional networking and upgrading laboratories in Lao PDR to prevent and control transboundary emerging infectious diseases.;06.07.2011;VONGSALY CHINDAVANH;30.09.2017;4;Oudomxai;???????;Oudomxay;?. ?????????;3000000;500000;Health;157846,0655;2262655,681;Health
266564;European Union;2011;Ongoing;Strengthening and harmonising capacity of the health sector in South East Asia through strategic planning, regional networking and upgrading laboratories in Lao PDR to prevent and control transboundary emerging infectious diseases.;06.07.2011;VONGSALY CHINDAVANH;30.09.2017;3;Louangnamtha;?????????;Luangnamtha;?. ???????????;3000000;500000;Health;97807,1837;2314345,448;Health
334432;European Union;2013;Ongoing;Second Trade Development Facility Multi-Donor Trust Fund;13.12.2013;XAYTHANITH KALAKATE;16.10.2018;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;3900000;3900000;Private sector development ;244231,412;2007885,134;Private sector development 
272233;European Union;2011;Ongoing;Northern Uplands Development Programme (NUDP);19.05.2011;EVERAERT KOEN;30.03.2019;7;Houaphan;??????;Huaphanh;??. ???????;7600000;2533333;Agriculture and rural development;396388,9558;2243602,685;Agriculture and rural development
272233;European Union;2011;Ongoing;Northern Uplands Development Programme (NUDP);19.05.2011;EVERAERT KOEN;30.03.2019;6;Louangphabang;?????????;Luangprabang;?. ???????????;7600000;2533333;Agriculture and rural development;243140,5795;2226599,839;Agriculture and rural development
272233;European Union;2011;Ongoing;Northern Uplands Development Programme (NUDP);19.05.2011;EVERAERT KOEN;30.03.2019;2;Phongsaly;????????;Phongsaly;?. ??????????;7600000;2533333;Agriculture and rural development;214551,4531;2396452,242;Agriculture and rural development
346980;European Union;2014;Ongoing;Support to the Education and Health sector reforms in the context of the 7th NSEDP in Lao PDR (BS Component);26.10.2013;PENA SEGURA ANA MARIA;25.04.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;10000000;10000000;Health;244231,412;2007885,134;Health
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;16;Champasak;???????;Champasack;?. ?????????;11500000;676471;Education Scholarships;602995,4303;1633379,012;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;17;Attapeu;???????;Attapeu;?. ?????????;11500000;676471;Education Scholarships;708017,3435;1635585,978;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;15;Xekong;?????;Sekong;?. ?????;11500000;676471;Education Scholarships;717162,3037;1724959,583;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;14;Salavan;???????;Saravane;?. ?????????;11500000;676471;Education Scholarships;635910,2719;1753017,198;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;13;Savannakhet;???????????;Savannakhet;?. ??????????????;11500000;676471;Education Scholarships;575095,9569;1830288,616;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;12;Khammouan;??????;Khammuane;???. ???????;11500000;676471;Education Scholarships;527368,6569;1942822,341;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;11;Bolikhamxai;????????;Borikhamxay;?. ???????????;11500000;676471;Education Scholarships;423001,918;2044726,932;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;18;Xaisomboun;????????;Saysomboun;?. ??????????;11500000;676471;Education Scholarships;299003,152;2088254,915;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;9;Xiengkhouang;???????;Xiengkhuang;?. ???????;11500000;676471;Education Scholarships;345506,5802;2153443,325;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;7;Houaphan;??????;Huaphanh;??. ???????;11500000;676471;Education Scholarships;396388,9558;2243602,685;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;6;Louangphabang;?????????;Luangprabang;?. ???????????;11500000;676471;Education Scholarships;243140,5795;2226599,839;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;2;Phongsaly;????????;Phongsaly;?. ??????????;11500000;676471;Education Scholarships;214551,4531;2396452,242;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;4;Oudomxai;???????;Oudomxay;?. ?????????;11500000;676471;Education Scholarships;157846,0655;2262655,681;Education Scholarships
